# kind|name|relative-frame-path|stable-error (X only)
V|null|valid/null.frame
V|false|valid/false.frame
V|true|valid/true.frame
V|zero|valid/zero.frame
V|negative|valid/negative.frame
V|text-ascii|valid/text-ascii.frame
V|text-unicode|valid/text-unicode.frame
V|bytes|valid/bytes.frame
V|symbol|valid/symbol.frame
V|empty-list|valid/empty-list.frame
V|list|valid/list.frame
V|empty-record|valid/empty-record.frame
V|record|valid/record.frame
V|nested|valid/nested.frame
X|float-tag|invalid/float-tag.frame|typed-tag
X|record-duplicate|invalid/record-duplicate.frame|record-duplicate
X|record-order|invalid/record-order.frame|record-order
X|utf8-continuation|invalid/utf8-continuation.frame|utf8-invalid
X|utf8-overlong|invalid/utf8-overlong.frame|utf8-invalid
X|utf8-surrogate|invalid/utf8-surrogate.frame|utf8-invalid
X|utf8-truncated|invalid/utf8-truncated.frame|utf8-invalid
X|improper-list|invalid/improper-list.frame|csexp-token
X|integer-plus|invalid/integer-plus.frame|integer-plus
X|integer-leading-zero|invalid/integer-leading-zero.frame|integer-leading-zero
X|integer-negative-zero|invalid/integer-negative-zero.frame|integer-negative-zero
X|comment|invalid/comment.frame|csexp-token
X|whitespace|invalid/whitespace.frame|csexp-token
X|payload-trailing|invalid/payload-trailing.frame|payload-trailing
X|frame-trailing|invalid/frame-trailing.frame|frame-trailing
X|length-leading-zero|invalid/length-leading-zero.frame|length-leading-zero
X|frame-leading-zero|invalid/frame-leading-zero.frame|frame-leading-zero
X|frame-too-large|invalid/frame-too-large.frame|frame-too-large
X|atom-too-large|invalid/atom-too-large.frame|atom-too-large
X|depth-too-large|invalid/depth-too-large.frame|depth-too-large
X|bool-value|invalid/bool-value.frame|bool-value
X|symbol-invalid|invalid/symbol-invalid.frame|symbol-invalid
X|record-entry|invalid/record-entry.frame|record-entry
X|typed-arity|invalid/typed-arity.frame|typed-arity
X|typed-list|invalid/typed-list.frame|typed-list
X|frame-comma|invalid/frame-comma.frame|frame-comma
X|prefix-too-long|invalid/prefix-too-long.frame|frame-length
X|frame-truncated|invalid/frame-truncated.frame|frame-truncated
V|integer-max|valid/integer-max.frame
X|integer-too-large|invalid/integer-too-large.frame|integer-too-large
V|symbol-max|valid/symbol-max.frame
X|symbol-too-large|invalid/symbol-too-large.frame|symbol-too-large
V|depth-max|valid/depth-max.frame
V|nodes-max|valid/nodes-max.frame
X|nodes-too-many|invalid/nodes-too-many.frame|nodes-too-many
V|atom-max|valid/atom-max.frame
V|payload-max|valid/payload-max.frame
X|empty-payload|invalid/empty-payload.frame|csexp-truncated
