# kind|name|universe|policies|expect ; C = compile case, F = mutation flip
C|doc-test-network-policy|universes/u1.frame|policies/doc-test-network-policy.frame|expect/doc-test-network-policy.frame
C|default-deny-ingress|universes/u1.frame|policies/default-deny-ingress.frame|expect/default-deny-ingress.frame
C|default-deny-egress|universes/u1.frame|policies/default-deny-egress.frame|expect/default-deny-egress.frame
C|default-deny-all|universes/u1.frame|policies/default-deny-all.frame|expect/default-deny-all.frame
C|allow-all-ingress|universes/u1.frame|policies/allow-all-ingress.frame|expect/allow-all-ingress.frame
C|allow-all-egress|universes/u1.frame|policies/allow-all-egress.frame|expect/allow-all-egress.frame
C|no-policies|universes/u1.frame|policies/no-policies.frame|expect/no-policies.frame
C|policytypes-omitted-ingress-only|universes/u1.frame|policies/policytypes-omitted-ingress-only.frame|expect/policytypes-omitted-ingress-only.frame
C|policytypes-omitted-with-egress|universes/u1.frame|policies/policytypes-omitted-with-egress.frame|expect/policytypes-omitted-with-egress.frame
C|policytypes-omitted-no-sections|universes/u1.frame|policies/policytypes-omitted-no-sections.frame|expect/policytypes-omitted-no-sections.frame
C|policytypes-empty|universes/u1.frame|policies/policytypes-empty.frame|expect/policytypes-empty.frame
C|omitted-from-allows-all|universes/u1.frame|policies/omitted-from-allows-all.frame|expect/omitted-from-allows-all.frame
C|empty-from-allows-all|universes/u1.frame|policies/empty-from-allows-all.frame|expect/empty-from-allows-all.frame
C|omitted-ports-allows-all|universes/u1.frame|policies/omitted-ports-allows-all.frame|expect/omitted-ports-allows-all.frame
C|empty-ports-allows-all|universes/u1.frame|policies/empty-ports-allows-all.frame|expect/empty-ports-allows-all.frame
C|empty-rule-list-denies|universes/u1.frame|policies/empty-rule-list-denies.frame|expect/empty-rule-list-denies.frame
C|peer-and-within|universes/u1.frame|policies/peer-and-within.frame|expect/peer-and-within.frame
C|peer-or-across|universes/u1.frame|policies/peer-or-across.frame|expect/peer-or-across.frame
C|peer-namespace-selector-empty|universes/u1.frame|policies/peer-namespace-selector-empty.frame|expect/peer-namespace-selector-empty.frame
C|peer-pod-selector-empty|universes/u1.frame|policies/peer-pod-selector-empty.frame|expect/peer-pod-selector-empty.frame
C|additive-allows|universes/u1.frame|policies/additive-allows.frame|expect/additive-allows.frame
C|namespace-scope|universes/u1.frame|policies/namespace-scope.frame|expect/namespace-scope.frame
C|selector-in|universes/u1.frame|policies/selector-in.frame|expect/selector-in.frame
C|selector-notin|universes/u1.frame|policies/selector-notin.frame|expect/selector-notin.frame
C|selector-exists|universes/u1.frame|policies/selector-exists.frame|expect/selector-exists.frame
C|selector-doesnotexist|universes/u1.frame|policies/selector-doesnotexist.frame|expect/selector-doesnotexist.frame
C|ipblock-cidr|universes/u1.frame|policies/ipblock-cidr.frame|expect/ipblock-cidr.frame
C|ipblock-except|universes/u1.frame|policies/ipblock-except.frame|expect/ipblock-except.frame
C|ipblock-external|universes/u1.frame|policies/ipblock-external.frame|expect/ipblock-external.frame
C|ipblock-prefix-28|universes/u1.frame|policies/ipblock-prefix-28.frame|expect/ipblock-prefix-28.frame
C|port-endport-range|universes/u1.frame|policies/port-endport-range.frame|expect/port-endport-range.frame
C|port-protocol-default-tcp|universes/u1.frame|policies/port-protocol-default-tcp.frame|expect/port-protocol-default-tcp.frame
C|port-protocol-udp|universes/u1.frame|policies/port-protocol-udp.frame|expect/port-protocol-udp.frame
C|named-port-ingress|universes/u1.frame|policies/named-port-ingress.frame|expect/named-port-ingress.frame
C|named-port-egress|universes/u1.frame|policies/named-port-egress.frame|expect/named-port-egress.frame
C|mut-label-base|universes/u1.frame|policies/mut-label-base.frame|expect/mut-label-base.frame
C|mut-label-changed|universes/u1.frame|policies/mut-label-changed.frame|expect/mut-label-changed.frame
C|mut-operator-base|universes/u1.frame|policies/mut-operator-base.frame|expect/mut-operator-base.frame
C|mut-operator-changed|universes/u1.frame|policies/mut-operator-changed.frame|expect/mut-operator-changed.frame
C|mut-cidr-base|universes/u1.frame|policies/mut-cidr-base.frame|expect/mut-cidr-base.frame
C|mut-cidr-changed|universes/u1.frame|policies/mut-cidr-changed.frame|expect/mut-cidr-changed.frame
C|mut-port-base|universes/u1.frame|policies/mut-port-base.frame|expect/mut-port-base.frame
C|mut-port-changed|universes/u1.frame|policies/mut-port-changed.frame|expect/mut-port-changed.frame
C|reject-named-port-unresolved|universes/u1.frame|policies/reject-named-port-unresolved.frame|expect/reject-named-port-unresolved.frame
C|reject-port-out-of-vocabulary|universes/u1.frame|policies/reject-port-out-of-vocabulary.frame|expect/reject-port-out-of-vocabulary.frame
C|reject-protocol-unknown|universes/u1.frame|policies/reject-protocol-unknown.frame|expect/reject-protocol-unknown.frame
C|reject-protocol-out-of-vocabulary|universes/u1.frame|policies/reject-protocol-out-of-vocabulary.frame|expect/reject-protocol-out-of-vocabulary.frame
C|reject-host-network|universes/u-host.frame|policies/reject-host-network.frame|expect/reject-host-network.frame
C|reject-unmodeled-field|universes/u1.frame|policies/reject-unmodeled-field.frame|expect/reject-unmodeled-field.frame
C|reject-selector-operator-unknown|universes/u1.frame|policies/reject-selector-operator-unknown.frame|expect/reject-selector-operator-unknown.frame
C|reject-selector-values-missing|universes/u1.frame|policies/reject-selector-values-missing.frame|expect/reject-selector-values-missing.frame
C|reject-selector-values-forbidden|universes/u1.frame|policies/reject-selector-values-forbidden.frame|expect/reject-selector-values-forbidden.frame
C|reject-selector-values-order|universes/u1.frame|policies/reject-selector-values-order.frame|expect/reject-selector-values-order.frame
C|reject-peer-empty|universes/u1.frame|policies/reject-peer-empty.frame|expect/reject-peer-empty.frame
C|reject-peer-ipblock-exclusive|universes/u1.frame|policies/reject-peer-ipblock-exclusive.frame|expect/reject-peer-ipblock-exclusive.frame
C|reject-cidr-malformed|universes/u1.frame|policies/reject-cidr-malformed.frame|expect/reject-cidr-malformed.frame
C|reject-cidr-no-prefix|universes/u1.frame|policies/reject-cidr-no-prefix.frame|expect/reject-cidr-no-prefix.frame
C|reject-address-unmodeled|universes/u1.frame|policies/reject-address-unmodeled.frame|expect/reject-address-unmodeled.frame
C|reject-ipblock-except-outside-cidr|universes/u1.frame|policies/reject-ipblock-except-outside-cidr.frame|expect/reject-ipblock-except-outside-cidr.frame
C|reject-ipblock-except-order|universes/u1.frame|policies/reject-ipblock-except-order.frame|expect/reject-ipblock-except-order.frame
C|reject-end-port-without-port|universes/u1.frame|policies/reject-end-port-without-port.frame|expect/reject-end-port-without-port.frame
C|reject-end-port-named-port|universes/u1.frame|policies/reject-end-port-named-port.frame|expect/reject-end-port-named-port.frame
C|reject-end-port-range|universes/u1.frame|policies/reject-end-port-range.frame|expect/reject-end-port-range.frame
C|reject-policy-namespace-unknown|universes/u1.frame|policies/reject-policy-namespace-unknown.frame|expect/reject-policy-namespace-unknown.frame
C|reject-policy-type-unknown|universes/u1.frame|policies/reject-policy-type-unknown.frame|expect/reject-policy-type-unknown.frame
C|reject-policy-type-order|universes/u1.frame|policies/reject-policy-type-order.frame|expect/reject-policy-type-order.frame
C|reject-policy-missing-field|universes/u1.frame|policies/reject-policy-missing-field.frame|expect/reject-policy-missing-field.frame
C|reject-policy-order|universes/u1.frame|policies/reject-policy-order.frame|expect/reject-policy-order.frame
C|reject-policy-duplicate|universes/u1.frame|policies/reject-policy-duplicate.frame|expect/reject-policy-duplicate.frame
C|reject-rule-unmodeled-field|universes/u1.frame|policies/reject-rule-unmodeled-field.frame|expect/reject-rule-unmodeled-field.frame
C|reject-policies-shape|universes/u1.frame|policies/reject-policies-shape.frame|expect/reject-policies-shape.frame
C|reject-record-order|universes/u1.frame|policies/reject-record-order.frame|expect/reject-record-order.frame
C|reject-record-duplicate|universes/u1.frame|policies/reject-record-duplicate.frame|expect/reject-record-duplicate.frame
C|reject-universe-shape|universes/u-shape.frame|policies/reject-universe-shape.frame|expect/reject-universe-shape.frame
C|reject-universe-unmodeled-field|universes/u-unmodeled.frame|policies/reject-universe-unmodeled-field.frame|expect/reject-universe-unmodeled-field.frame
C|reject-universe-pod-order|universes/u-pod-order.frame|policies/reject-universe-pod-order.frame|expect/reject-universe-pod-order.frame
C|reject-universe-namespace-unknown|universes/u-namespace-unknown.frame|policies/reject-universe-namespace-unknown.frame|expect/reject-universe-namespace-unknown.frame
C|reject-universe-port-order|universes/u-port-order.frame|policies/reject-universe-port-order.frame|expect/reject-universe-port-order.frame
C|reject-universe-protocol-order|universes/u-protocol-order.frame|policies/reject-universe-protocol-order.frame|expect/reject-universe-protocol-order.frame
C|reject-universe-address-duplicate|universes/u-address-duplicate.frame|policies/reject-universe-address-duplicate.frame|expect/reject-universe-address-duplicate.frame
C|reject-universe-address-unmodeled|universes/u-address-unmodeled.frame|policies/reject-universe-address-unmodeled.frame|expect/reject-universe-address-unmodeled.frame
C|reject-universe-container-port|universes/u-container-port.frame|policies/reject-universe-container-port.frame|expect/reject-universe-container-port.frame
F|mut-label-base|mut-label-changed
F|mut-operator-base|mut-operator-changed
F|mut-cidr-base|mut-cidr-changed
F|mut-port-base|mut-port-changed
F|policytypes-omitted-ingress-only|policytypes-omitted-with-egress
F|default-deny-ingress|allow-all-ingress
