# kind|name|relative-frame-path|stable-error (X only)
V|minimal|valid/minimal.frame
V|full-declarations|valid/full-declarations.frame
V|large-integers|valid/large-integers.frame
V|negative-header-values|valid/negative-header-values.frame
V|seed-max|valid/seed-max.frame
X|record-order|invalid/record-order.frame|record-order
X|record-duplicate|invalid/record-duplicate.frame|record-duplicate
X|float-tag|invalid/float-tag.frame|typed-tag
X|integer-leading-zero|invalid/integer-leading-zero.frame|integer-leading-zero
X|frame-trailing|invalid/frame-trailing.frame|frame-trailing
X|scenario-type|invalid/scenario-type.frame|scenario-type
X|unknown-field|invalid/unknown-field.frame|scenario-unknown-field
X|missing-field|invalid/missing-field.frame|scenario-missing-field
X|budget-missing-field|invalid/budget-missing-field.frame|scenario-missing-field
X|version-unknown|invalid/version-unknown.frame|scenario-version
X|determinism-unsupported|invalid/determinism-unsupported.frame|scenario-determinism-unsupported
X|determinism-type|invalid/determinism-type.frame|scenario-determinism-type
X|seed-empty|invalid/seed-empty.frame|scenario-seed-empty
X|seed-type|invalid/seed-type.frame|scenario-seed-type
X|seed-too-large|invalid/seed-too-large.frame|scenario-seed-too-large
X|budget-type|invalid/budget-type.frame|scenario-budget-type
X|budget-range|invalid/budget-range.frame|scenario-budget-range
X|budget-record-type|invalid/budget-record-type.frame|scenario-budget-type
X|vocabulary-empty|invalid/vocabulary-empty.frame|scenario-header-vocabulary-empty
X|vocabulary-missing|invalid/vocabulary-missing.frame|scenario-header-vocabulary-missing
X|vocabulary-type|invalid/vocabulary-type.frame|scenario-header-vocabulary-type
X|header-field-order|invalid/header-field-order.frame|scenario-header-field-order
X|duplicate-header-field|invalid/duplicate-header-field.frame|scenario-duplicate-header-field
X|header-field-type|invalid/header-field-type.frame|scenario-header-field-type
X|header-values-empty|invalid/header-values-empty.frame|scenario-header-values-empty
X|header-values-order|invalid/header-values-order.frame|scenario-header-values-order
X|duplicate-header-value|invalid/duplicate-header-value.frame|scenario-duplicate-header-value
X|header-value-type|invalid/header-value-type.frame|scenario-header-value-type
X|header-values-type|invalid/header-values-type.frame|scenario-header-values-type
X|topology-type|invalid/topology-type.frame|scenario-topology-type
X|topology-empty|invalid/topology-empty.frame|scenario-topology-empty
X|nodes-type|invalid/nodes-type.frame|scenario-nodes-type
X|node-order|invalid/node-order.frame|scenario-node-order
X|duplicate-node|invalid/duplicate-node.frame|scenario-duplicate-node
X|duplicate-address|invalid/duplicate-address.frame|scenario-duplicate-address
X|node-address-range|invalid/node-address-range.frame|scenario-node-address-range
X|node-address-type|invalid/node-address-type.frame|scenario-node-address-type
X|address-out-of-vocabulary|invalid/address-out-of-vocabulary.frame|scenario-address-out-of-vocabulary
X|node-id-type|invalid/node-id-type.frame|scenario-node-id-type
X|links-type|invalid/links-type.frame|scenario-links-type
X|link-unknown-node|invalid/link-unknown-node.frame|scenario-unknown-node
X|link-order|invalid/link-order.frame|scenario-link-order
X|duplicate-link|invalid/duplicate-link.frame|scenario-duplicate-link
X|self-link|invalid/self-link.frame|scenario-self-link
X|link-endpoint-type|invalid/link-endpoint-type.frame|scenario-link-endpoint-type
X|components-type|invalid/components-type.frame|scenario-components-type
X|component-kind-unsupported|invalid/component-kind-unsupported.frame|scenario-component-kind-unsupported
