# kind|name|complete outer-frame bytes as lowercase hex|stable error (X only)
V|null|383a28343a6e756c6c292c
V|false|31353a28343a626f6f6c353a66616c7365292c
V|true|31343a28343a626f6f6c343a74727565292c
V|zero|31303a28333a696e74313a30292c
V|negative|34313a28333a696e7433313a2d313233343536373839303132333435363738393031323334353637383930292c
V|text-ascii|31353a28343a74657874353a68656c6c6f292c
V|text-unicode|31373a28343a74657874373a62c3b662e298ba292c
V|bytes|31363a28353a6279746573353a00292c3aff292c
V|symbol|33373a28363a73796d626f6c32343a616c7068612d312f626574612e67616d6d615f64656c7461292c
V|empty-list|383a28343a6c697374292c
V|list|34313a28343a6c69737428343a6e756c6c2928343a626f6f6c343a747275652928333a696e74323a343229292c
V|empty-record|31303a28363a7265636f7264292c
V|record|34333a28363a7265636f726428313a6128333a696e74313a31292928313a7a28343a74657874333a656e642929292c
V|nested|36333a28343a6c69737428363a7265636f726428353a6974656d7328343a6c69737428343a626f6f6c353a66616c73652928353a6279746573323a787929292929292c
X|float-tag|31343a28353a666c6f6174333a312e30292c|typed-tag
X|record-duplicate|33363a28363a7265636f726428313a6128343a6e756c6c292928313a6128343a6e756c6c2929292c|record-duplicate
X|record-order|33363a28363a7265636f726428313a7a28343a6e756c6c292928313a6128343a6e756c6c2929292c|record-order
X|utf8-continuation|31313a28343a74657874313a80292c|utf8-invalid
X|utf8-overlong|31323a28343a74657874323ac080292c|utf8-invalid
X|utf8-surrogate|31333a28343a74657874333aeda080292c|utf8-invalid
X|utf8-truncated|31323a28343a74657874323ae298292c|utf8-invalid
X|improper-list|31373a28343a6c69737428343a6e756c6c292e292c|csexp-token
X|integer-plus|31313a28333a696e74323a2b31292c|integer-plus
X|integer-leading-zero|31313a28333a696e74323a3031292c|integer-leading-zero
X|integer-negative-zero|31313a28333a696e74323a2d30292c|integer-negative-zero
X|comment|31313a3b780a28343a6e756c6c292c|csexp-token
X|whitespace|393a28343a6e756c6c20292c|csexp-token
X|payload-trailing|31363a28343a6e756c6c2928343a6e756c6c292c|payload-trailing
X|frame-trailing|383a28343a6e756c6c292c78|frame-trailing
X|length-leading-zero|393a2830343a6e756c6c292c|length-leading-zero
X|frame-leading-zero|30383a28343a6e756c6c292c|frame-leading-zero
X|frame-too-large|343039373a|frame-too-large
X|atom-too-large|31323a28343a746578743235373a292c|atom-too-large
X|depth-too-large|3236343a28343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c69737428343a6c6973742929292929292929292929292929292929292929292929292929292929292929292c|depth-too-large
X|bool-value|31333a28343a626f6f6c333a796573292c|bool-value
X|symbol-invalid|31353a28363a73796d626f6c333a612062292c|symbol-invalid
X|record-entry|31333a28363a7265636f7264313a61292c|record-entry
X|typed-arity|31313a28343a6e756c6c313a78292c|typed-arity
X|typed-list|363a343a6e756c6c2c|typed-list
X|frame-comma|383a28343a6e756c6c293b|frame-comma
X|prefix-too-long|3131313131|frame-length
X|frame-truncated|383a28343a6e756c6c29|frame-truncated
